Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents)
BASIN HOME HEALTH & HOSPICE,200 NORTH ORCHARD AVENUE,FARMINGTON,NM,87401,100.0,0.0,0.0,0.0,8.0,46.1,10.0,48.1,99.5,100.0,99.0,100.0,100.0,100.0,24.0,9.5,100.0,"5,894",5.2,84.3
"BAY NURSING, INC",255 N BAILEY ST,ROMEO,MI,48065,94.4,12.5,0.0,0.0,12.5,40.3,9.0,52.8,87.9,99.1,89.7,95.5,98.1,100.0,12.5,16.4,100.0,"9,422",11.1,96.8
"BAYADA AT INSPIRA, HOME HEALTH AND HOSPICE","600 JESSUP ROAD, SUITE 100A",WEST DEPTFORD,NJ,8066,99.9,6.4,2.1,1.5,5.3,47.2,10.0,63.3,98.5,99.7,99.0,99.5,99.6,100.0,31.9,13.8,100.0,"12,847",7.9,95.1
"BAYADA HOME HEALTH CARE, INC",466-468 JAKE ALEXANDER BOULEVARD W.,SALISBURY,NC,28147,88.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73.1,100.0,Not Available,Not Available,96.2,96.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BAYADA HOSPICE,1 W PHILADELPHIA AVENUE 4TH FLOOR,BOYERTOWN,PA,19512,99.8,10.9,3.3,0.3,4.3,40.6,10.0,64.5,99.0,100.0,99.6,100.0,99.5,100.0,47.8,16.6,100.0,"13,645",7.4,93.0
BAYADA HOSPICE,11 CAMPUS BLVD SUITE 190,NEWTOWN SQUARE,PA,19073,99.9,6.0,0.8,0.0,6.0,64.2,10.0,62.9,97.8,99.5,99.2,99.7,99.0,100.0,51.2,12.4,99.2,"15,719",8.8,93.4
BAYADA HOSPICE,"22 BRIDGE STREET, STE 7",CONCORD,NH,3301,99.4,2.8,0.0,0.1,5.6,40.7,10.0,73.8,95.1,99.4,100.0,100.0,96.9,99.4,30.6,17.6,97.8,"11,437",10.3,95.9
BAYADA HOSPICE,"316 MAIN STREET, UNIT EH-6",NORWICH,VT,5055,98.8,3.1,3.4,0.1,4.4,56.4,10.0,74.4,95.0,99.4,96.6,98.8,98.1,99.8,46.3,14.6,99.2,"16,215",9.2,95.4
BAYADA HOSPICE,4250 LANCASTER PIKE SUITE 308 ,WILMINGTON,DE,19805,98.9,7.1,1.6,0.3,5.4,58.4,10.0,62.9,94.0,99.1,95.2,97.8,97.4,100.0,43.5,13.4,97.6,"21,461",6.6,92.6
BAYADA HOSPICE,5135 MORGANTON ROAD,FAYETTEVILLE,NC,28314,98.5,23.4,4.3,0.0,4.3,50.4,9.0,67.9,93.4,97.8,95.4,100.0,97.1,100.0,36.2,10.0,100.0,"18,113",9.2,94.4
BAYADA HOSPICE,"5901 WEST SIDE AVENUE, SUITE 502A",NORTH BERGEN,NJ,7047,99.7,8.7,3.9,0.1,8.7,48.2,10.0,68.3,94.8,99.4,96.4,98.5,98.3,100.0,40.8,12.9,99.4,"16,071",5.5,93.6
BAYADA HOSPICE,"651 EAST PARK DRIVE, SUITE 101",HARRISBURG,PA,17111,100.0,8.3,4.2,0.0,29.2,55.4,9.0,45.5,100.0,100.0,100.0,100.0,100.0,100.0,4.2,15.1,Not Available,"8,364",8.1,90.9
BAYADA HOSPICE,7070 N ORACLE RD STE 110,TUCSON,AZ,85704,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BAYLOR SCOTT & WHITE HOSPICE - TEMPLE,"5701 AIRPORT ROAD, POD M195",TEMPLE,TX,76502,100.0,10.2,2.7,2.4,8.6,63.7,10.0,79.2,89.0,99.0,98.8,91.3,96.8,100.0,37.6,9.7,99.4,"14,015",7.6,98.5
BAYLOR SCOTT & WHITE HOSPICE-WACO,2911 HERRING AVENUE SUITE 310,WACO,TX,76708,99.5,19.4,0.0,4.5,12.9,67.3,9.0,80.0,94.0,99.7,100.0,95.0,99.0,100.0,22.6,12.1,100.0,"9,136",9.9,98.8
BAYOU CITY HOSPICE ,8201 CYPRESSWOOD DR,SPRING,TX,77379,94.1,20.3,2.4,0.3,4.1,61.2,8.0,55.4,59.1,100.0,99.0,89.4,71.6,89.8,42.3,11.1,100.0,"21,443",3.7,91.7
BAYOU HOSPICE LLC,315 W. ALABAMA ST. STE. 200,HOUSTON,TX,77006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BAYSIDE WELLNESS, LLC","236 1/2 E FRONT ST, SUITE 6",TRAVERSE CITY,MI,49684,90.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.8,100.0,81.3,Not Available,95.5,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BAYSTATE HOSPICE ,"30 CAPITAL DR, SUITE A",WEST SPRINGFIELD,MA,1089,99.2,5.2,4.2,2.4,10.4,42.2,10.0,60.2,98.9,100.0,99.5,100.0,100.0,100.0,31.3,11.9,100.0,"8,851",10.2,95.8
BCM HEALTH LLC,1225 25TH STREET NORTH SUITE 100 A,TEXAS CITY,TX,77590,99.2,0.8,3.1,0.0,5.3,93.4,5.0,17.4,95.3,98.4,100.0,97.4,98.4,99.2,37.4,8.9,100.0,"39,885",3.6,64.3
BEACON HOSPICE CARE,221 W F STREET,ONTARIO,CA,91762,100.0,12.0,4.0,0.4,8.0,87.0,8.0,35.5,89.2,100.0,100.0,Not Available,100.0,100.0,44.0,9.2,Not Available,"32,826",12.0,93.3
BEACON HOSPICE OF AUSTIN,7800 SHOAL CREEK BLVD. SUITE 105N,AUSTIN,TX,78757,96.1,13.4,3.0,0.0,9.0,75.0,10.0,70.1,89.9,98.3,94.8,99.0,100.0,100.0,31.3,9.9,95.8,"18,119",10.8,91.8
BEACON HOSPICE OF MICHIGAN LP,"44978 FORD RD, SUITE D",CANTON,MI,48187,98.6,6.7,0.0,0.0,0.0,68.2,10.0,50.0,96.5,100.0,95.1,100.0,100.0,100.0,20.0,14.8,96.8,"8,253",8.7,83.6
BEACON HOSPICE OF NORTH DETROIT LP,"30700 TELEGRAPH RD, SUITE 3650",BINGHAM FARMS,MI,48025,95.4,0.0,0.0,0.0,1.9,92.3,7.0,28.8,91.7,100.0,94.1,100.0,97.2,100.0,49.1,5.9,Not Available,"16,427",8.4,68.5
"BEACON HOSPICE OF WEST DETROIT, LP","30700 TELEGRAPH RD, SUITE 3650C",BINGHAM FARMS,MI,48025,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BEACON HOSPICE, AN AMEDISYS COMPANY",1 CATAMORE BOULEVARD,EAST PROVIDENCE,RI,2914,99.6,3.1,0.3,0.8,5.9,70.1,10.0,82.4,99.6,100.0,100.0,100.0,100.0,99.9,48.6,12.7,100.0,"14,353",9.0,96.3
"BEACON HOSPICE, AN AMEDISYS COMPANY",1026 STILLWATER AVENUE,BANGOR,ME,4401,99.6,0.0,1.6,0.1,4.8,54.9,10.0,82.0,99.2,100.0,99.5,99.6,100.0,100.0,47.2,11.8,98.9,"12,191",13.2,97.3
"BEACON HOSPICE, AN AMEDISYS COMPANY","111 FOUNDERS PLAZA, SUITE 1802",EAST HARTFORD,CT,6108,99.6,6.3,6.3,0.3,6.3,63.2,9.0,79.5,99.4,100.0,100.0,100.0,100.0,100.0,37.5,13.8,99.2,"11,466",10.2,94.6
"BEACON HOSPICE, AN AMEDISYS COMPANY","245 CENTER STREET, SUITE 10A",AUBURN,ME,4210,99.7,1.8,0.0,0.2,6.3,58.1,10.0,88.5,99.0,99.6,99.8,100.0,100.0,100.0,33.0,12.7,99.6,"12,974",10.5,98.3
"BEACON HOSPICE, AN AMEDISYS COMPANY","25 NEW HAMPSHIRE AVENUE,  SUITE 272",PORTSMOUTH,NH,3801,99.8,2.0,0.0,1.4,9.8,71.9,10.0,78.1,99.2,100.0,99.3,99.6,100.0,100.0,45.1,10.5,100.0,"13,809",8.1,96.3
"BEACON HOSPICE, AN AMEDISYS COMPANY",36 WILLIAM STREET,LEOMINSTER,MA,1453,100.0,2.8,1.4,0.6,12.5,63.2,10.0,79.1,100.0,100.0,100.0,100.0,100.0,100.0,48.6,12.5,100.0,"12,171",11.2,95.3
"BEACON HOSPICE, AN AMEDISYS COMPANY","52 ATLANTIC PLACE, SUITE B-50",SO PORTLAND,ME,4106,100.0,5.0,0.0,0.0,3.8,49.5,10.0,81.8,100.0,100.0,100.0,100.0,100.0,100.0,46.3,12.8,100.0,"18,778",6.9,95.6
"BEACON HOSPICE, AN AMEDISYS COMPANY","529 MAIN STREET, SUITE 126",CHARLESTOWN,MA,2129,99.9,2.6,2.8,0.2,6.7,56.7,10.0,80.1,99.9,100.0,100.0,100.0,100.0,100.0,46.3,13.4,99.7,"18,544",9.5,94.7
"BEACON HOSPICE, AN AMYEDISYS COMPANY",815 WORCESTER STREET,SPRINGFIELD,MA,1151,100.0,5.3,2.1,0.0,4.3,58.4,10.0,79.9,97.7,99.1,99.1,98.2,100.0,100.0,39.4,11.5,99.2,"12,228",11.8,94.4
BEACON OF HOPE HOSPICE,1020 WEST 35TH STREET,DAVENPORT,IA,52806,96.3,8.5,2.8,0.0,4.2,84.1,9.0,69.3,90.1,100.0,97.8,98.8,100.0,99.4,45.1,9.9,75.0,"16,063",6.8,90.9
BEACON OF HOPE HOSPICE,"1760 MCCULLOCH BOULEVARD NORTH, SUITE 204",LAKE HAVASU,AZ,86403,98.6,5.7,1.1,0.1,5.7,64.8,10.0,78.8,88.1,100.0,82.3,100.0,100.0,100.0,43.7,10.4,95.8,"17,478",6.8,97.8
BEACON OF HOPE HOSPICE,"3030 SOUTH NEEDLES HIGHWAY, SUITE 1400",LAUGHLIN,NV,89029,97.0,11.1,0.0,0.0,0.0,62.5,9.0,35.3,93.9,100.0,Not Available,Not Available,100.0,97.0,22.2,11.0,Not Available,"16,211",5.6,94.6
BEACON OF HOPE HOSPICE,"3550 NORTH LANE, SUITES 102,104,106 &108",BULLHEAD CITY,AZ,86442,95.7,14.0,1.2,0.0,8.1,64.6,10.0,58.2,82.1,99.1,82.6,93.7,100.0,99.1,34.9,11.1,80.0,"15,348",7.8,96.1
BEACON OF HOPE HOSPICE OF ILLINOIS,102 E MAIN ST A,GALESBURG,IL,61401,93.4,7.7,0.0,0.0,12.8,81.2,10.0,61.6,89.4,100.0,93.4,97.2,100.0,100.0,33.3,9.5,96.4,"15,560",8.5,93.3
"BEACON OF HOPE HOSPICE OF MISSOURI, INC","801 NW ST MARY'S DRIVE, STE 205",BLUE SPRINGS,MO,64014,99.1,8.5,4.2,0.0,4.2,65.0,10.0,71.5,83.6,100.0,78.0,94.6,96.4,100.0,38.0,12.0,91.3,"20,975",6.7,95.3
BEAR CREEK HOSPICE,414 W EULESS BLVD,EULESS,TX,76040,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEAR PAW HOSPICE,30 W 13TH ST,HAVRE,MT,59501,100.0,0.0,0.0,0.0,25.0,57.9,7.0,52.2,96.3,100.0,Not Available,100.0,100.0,100.0,25.0,6.9,Not Available,"9,447",7.3,86.2
BEAR VALLEY HOSPICE LLC,"909 W BIG BEAR BLVD, PO BOX 140",BIG BEAR CITY,CA,92314,100.0,6.1,3.0,0.1,12.1,57.6,10.0,95.6,96.7,100.0,94.7,100.0,100.0,100.0,30.3,12.6,100.0,"24,278",8.5,98.8
BEARTOOTH BILLINGS CLINIC HOSPICE,2525 N BROADWAY AVE,RED LODGE,MT,59068,Not Available,0.0,0.0,0.8,0.0,41.4,10.0,80.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.9,11.4,Not Available,"12,113",5.3,100
"BEATUS HOSPICE CARE,INC.",11490 BURBANK BLVD.,NORTH HOLLYWOOD,CA,91601,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEAUMONT HOSPICE,"1975 TECHNOLOGY DR, SUITE J120",TROY,MI,48083,100.0,10.1,1.1,10.2,23.6,55.6,9.0,64.8,99.5,99.9,99.9,100.0,99.7,100.0,23.6,16.3,100.0,"6,770",9.6,97.8
BEAVER VALLEY HOSPICE,"1109 NORTH 100 WEST, SUITE",BEAVER,UT,84713,Not Available,Not Available,Not Available,0.0,Not Available,37.5,Not Available,61.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.7,Not Available,"6,318",17.4,100
BEGINNING LIFE HOSPICE INC,17620 SHERMAN WAY SUITE 213,VAN NUYS,CA,91406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEK HOSPICE CARE,1827 W VERDUGO AVE,BURBANK,CA,91506,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BELIEF HOSPICE,"1930 SOUTH ALMA SCHOOL RD, SUITE C-104",MESA,AZ,85210,89.5,4.8,0.0,0.0,7.1,82.0,6.0,Not Available,54.4,78.9,Not Available,62.8,94.7,100.0,61.9,7.2,92.3,"16,834",12.4,37.5
BELIEVE HOSPICE CARE INC,225 E BROADWAY SUITE 306A,GLENDALE,CA,91205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BELIEVE HOSPICE INC,18747 SHERMAN WAY SUITE 225,RESEDA,CA,91335,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BELLA CARE HOSPICE,"110 POLARIS PKWY, SUITE 302",WESTERVILLE,OH,43082,100.0,15.4,1.7,0.0,4.3,69.2,10.0,58.8,99.5,99.9,99.2,100.0,99.9,100.0,53.8,10.4,99.2,"20,058",7.5,93.4
BELLA HOSPICE OF TEXAS,"900 WIGGINS PKWY, STE A ",MESQUITE,TX,75150,100.0,3.9,0.0,0.0,5.9,71.3,8.0,70.1,90.0,100.0,95.5,83.3,98.9,100.0,54.9,8.1,Not Available,"24,202",7.4,93.2
BELLA TERRA HOSPICE,"391 N. MAIN ST., STE 303",CORONA,CA,92880,100.0,17.9,3.6,0.0,3.6,51.4,9.0,30.2,91.9,93.5,100.0,97.1,100.0,100.0,50.0,12.8,100.0,"23,899",8.6,88.0
BELLA TERRA HOSPICE OF THE DESERT,75410 GERALD FORD DRIVE,PALM DESERT,CA,92211,98.1,15.4,3.8,0.0,3.8,36.0,9.0,31.0,95.3,100.0,100.0,96.0,99.1,100.0,50.0,12.1,Not Available,"16,667",7.7,92.6
BELLA VISTA HOSPICE CARE INC,889 PIERCE CT SUITE 103,THOUSAND OAKS,CA,91360,100.0,6.7,0.0,0.2,0.0,82.9,9.0,5.0,94.8,100.0,100.0,89.2,100.0,100.0,44.4,10.6,Not Available,"27,398",14.1,90.0
"BELLE VIE HOSPICE, LLC","2901 BLUE GRASS BLVD, SUITE 200-31",LEHI,UT,84043,67.6,27.3,0.0,0.0,9.1,28.8,8.0,32.7,61.1,99.1,90.1,98.6,100.0,98.1,18.2,10.6,88.9,"11,937",3.2,95.5
BELLEROSE HOSPICE CARE INC,26893 BOUQUET CANYON RD SUITE L,SANTA CLARITA,CA,91350,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92.6,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BELLEVUE HOSPICE CARE INC,19634 VENTURA BLVD SUITE 217,TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BELLVIEW HOSPICE CARE, INC","255 N D STREET, SUITE 214",SAN BERNARDINO,CA,92401,100.0,0.0,0.0,0.1,0.0,86.2,6.0,42.9,94.9,100.0,93.1,100.0,100.0,100.0,52.0,9.1,Not Available,"26,983",4.0,70.5
"BELMONT HOSPICE & PALLIATIVE CARE, INC",460 S CENTRAL AVE SUITE B,GLENDALE,CA,91204,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BELMONT HOSPICE INC,1007 E COOLEY DRIVE SUITE 117,COLTON,CA,92324,100.0,8.7,4.8,0.0,2.9,78.5,8.0,11.7,92.9,100.0,97.5,92.9,100.0,100.0,52.9,12.4,Not Available,"28,484",3.3,89.9
BELOIT REGIONAL HOSPICE,1904 E HUEBBE PARKWAY,BELOIT,WI,53511,99.6,2.6,0.0,0.3,5.3,62.3,10.0,71.6,98.8,100.0,100.0,98.3,100.0,99.6,47.4,15.5,100.0,"12,104",11.1,92.6
"BELOVED HOSPICE CARE, INC",6819 SEPULVEDA BLVD SUITE 208,VAN NUYS,CA,91405,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BELOVED HOSPICE, INC",25195 SW PARKWAY AVENUE #200,WILSONVILLE,OR,97070,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BENCHMARK HOSPICE, LLC","780 CLEPPER ST, SUITE 100B",MONTGOMERY,TX,77356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BENEFICIAL HOSPICE AND PALLIATIVE CARE,7002 MOODY ST,LA PALMA,CA,90623,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95.0,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BENIGN CARE HOSPICE, INC",356 E OLIVE AVE SUITE 114,BURBANK,CA,91502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BENTON COUNTY HOSPICE,1238 COMMERCIAL,WARSAW,MO,65355,98.9,0.0,0.0,0.0,7.1,5.1,9.0,37.2,86.7,98.9,86.4,100.0,94.4,100.0,35.7,13.9,Not Available,"9,606",5.4,91.7
"BERKLEY PALLIATIVE CARE AND HOSPICE, LLC",10697 E DARTMOUTH AVE,AURORA,CO,80014,99.8,6.6,0.9,0.0,6.6,59.1,10.0,76.9,98.5,99.8,100.0,100.0,99.0,100.0,43.4,13.4,98.8,"14,625",5.2,97.5
BERNARDO HOSPICE CARE ,2306 HARRINGTON STREET STE 1 ,NEWBERRY ,SC,29108,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BESPOKE HOSPICE CARE LLC,9001 AIRPORT FREEWAY SUITE 580,NORTH RICHLAND HILLS,TX,76180,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BEST CARE HOSPICE, LLC","2483 S LINDEN RD, SUITE 50",FLINT,MI,48532,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BEST CHOICE HOSPICE SERVICE, INC",8700 RESEDA BLVD SUITE 216,NORTHRIDGE,CA,91324,100.0,1.7,0.0,0.0,0.0,96.7,Not Available,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,44.1,9.1,Not Available,"29,159",22.2,Not Available
"BEST GOLDEN CARE HOSPICE, INC",11745 EDINGER AVENUE,FOUNTAIN VALLEY,CA,92708,100.0,0.0,3.7,0.3,0.0,73.7,8.0,3.3,75.9,100.0,100.0,Not Available,100.0,100.0,66.7,15.2,Not Available,"19,380",28.0,69.0
BEST HOME HEALTH & HOSPICE LLC,105 YELLOW CREEK ROAD,EVANSTON,WY,82930,100.0,0.0,0.0,0.9,7.1,60.5,9.0,32.7,96.5,100.0,98.2,100.0,100.0,100.0,7.1,8.9,98.0,"10,975",4.1,81.7
"BEST HOPE HOSPICE, INC.",7301 TOPANGA CANYON BLVD.,CANOGA PARK,CA,91303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEST HOSPICE CARE OF TEXAS,44 N 11TH ST,BEAUMONT,TX,77702,99.3,23.0,2.7,0.0,5.4,50.9,7.0,48.9,89.7,97.8,93.3,97.3,99.3,99.3,51.4,12.1,100.0,"28,040",2.8,92.6
"BEST HOSPICE CARE, INC.",3731 CAHUENGA BLVD STE H,STUDIO CITY,CA,91604,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BEST HOSPICE PROVIDER, INC.",26230 INDUSTRIAL BLVD,HAYWARD,CA,94545,93.6,5.4,8.1,0.0,10.8,57.5,8.0,18.3,87.3,100.0,94.7,95.5,99.4,100.0,24.3,14.9,96.9,"17,968",16.4,81.3
BEST IN THE WEST HOSPICE INC,19231 VICTORY BLVD SUITE 556,RESEDA,CA,91335,Not Available,4.0,0.0,0.0,4.0,58.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.0,19.4,Not Available,"33,794",13.5,Not Available
"BEST LEVEL HOSPICE, INC",17337 VENTURA BLVD. SUITE 303,ENCINO,CA,91316,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BEST PALLIATIVE HOSPICE CARE, INC","21220 DEVONSHIRE ST, SUITE 201",CHATSWORTH,CA,91311,100.0,11.1,11.1,0.2,0.0,96.0,6.0,Not Available,90.9,100.0,Not Available,Not Available,100.0,100.0,44.4,9.4,Not Available,"28,872",17.0,73.3
"BEST QUALITY CARE HOSPICE, INC",28497 HIGHWAY 74,LAKE ELSINORE,CA,92532,Not Available,12.5,0.0,0.0,12.5,76.0,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.0,13.0,Not Available,"28,601",25.8,75.0
"BEST QUALITY HOSPICE AND PALLIATIVE CARE, INC",6308 WOODMAN AVE SUITE 104,VAN NUYS,CA,91401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEST SUPPORT HOSPICE INC,4150 W PEORIA AVE SUITE B130-D,PHOENIX,AZ,85029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BESTCARE HOME HEALTH INC,"5583 DAVIS BLVD, STE 300",NO RICHLAND HILLS,TX,76180,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BETA CARING HANDS HOSPICE, INC.",110 W FIR ST SUITE 4 ,BREA,CA,92821,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BETA HOSPICE CARE INC,1525 N D STREET SUITE 10,SAN BERNARDINO,CA,92405,100.0,8.3,4.2,0.5,4.2,60.7,10.0,14.3,91.5,100.0,98.2,93.3,100.0,100.0,30.6,13.4,Not Available,"26,174",19.5,96.8
BETH ISRAEL LAHEY HEALTH AT HOME,"600 CUMMINGS CENTER, SUITE 270X",BEVERLY,MA,1915,100.0,20.6,3.1,0.1,9.3,41.4,9.0,64.5,98.3,99.7,98.2,99.5,99.9,100.0,34.0,14.1,100.0,"13,704",10.9,94.8
BETHANY HOSPICE OF WESTERN PENNSYLVANIA,"FOSTER ZERO, 400 HOLIDAY DRIVE SUITE 101",PITTSBURGH,PA,15220,100.0,5.3,5.3,0.6,10.5,61.2,9.0,66.0,100.0,100.0,100.0,100.0,100.0,100.0,55.3,14.8,100.0,"15,398",6.7,92.9
BETHESDA HOSPICE CARE,"12101 WOODCREST EXECUTIVE DR, STE 200",SAINT LOUIS,MO,63141,97.4,0.0,0.0,0.0,0.0,73.9,8.0,66.8,81.0,98.3,89.5,98.1,93.1,95.7,59.4,12.3,92.9,"18,604",5.3,90.7
"BETTER CHOICE HOSPICE CARE, INC.",3436 N VERDUGO RD STE 107,GLENDALE,CA,91208,100.0,8.8,0.0,0.2,5.9,45.8,9.0,Not Available,91.4,100.0,94.6,100.0,100.0,100.0,8.8,13.5,Not Available,"27,131",19.1,100
BETTER CHOICE HOSPICE INC,2704 MERCANTILE DRIVE,RANCHO CORDOVA,CA,95742,100.0,0.0,20.0,0.9,20.0,11.1,8.0,0.0,95.2,100.0,Not Available,Not Available,100.0,100.0,20.0,25.8,Not Available,"8,876",23.2,88.6
BETTER DAYS HOSPICE,"16200 VENTURA BLVD, SUITE 309",ENCINO,CA,91436,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,97.5,100.0,100.0,96.3,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
