Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
ALL HANDS HOSPICE AND PALLIATIVE CARE,"9898 BISSONNET ST, STE 593 ",HOUSTON,TX,77036,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.701847,-95.534537
"ALL HEART HOSPICE, INC",133 N ALTADENA DR STE 307,PASADENA,CA,91107,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155533,-118.086178
"ALL IN ONE HOSPICE CARE, INC",14553 DELANO ST SUITE 317,VAN NUYS,CA,91411,99.0,5.3,4.3,0.4,2.1,74.5,9.0,6.1,88.7,99.0,100.0,87.3,99.0,99.0,36.2,14.6,Not Available,"18,385",16.7,74.2,34.178522,-118.459234
"ALL INCLUSIVE HOSPICE CARE, INC","6454 VAN NUYS BLVD, SUITE 5",VAN NUYS,CA,91401,Not Available,1.6,0.0,0.0,0.0,96.9,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,94.6,7.2,Not Available,"46,914",19.5,33.3,34.178483,-118.431791
ALL LIVES MATTER HOSPICE,1254 S WATERMAN AVENUE SUITE 45,SAN BERNARDINO,CA,92408,100.0,8.7,4.3,0.0,4.3,82.1,9.0,Not Available,77.3,95.5,89.3,93.1,95.5,100.0,34.8,9.9,Not Available,"20,947",11.9,86.7,34.083458,-117.270016
ALL SAINTS HOSPICE,"7406 HIGHWAY 1, SUITE 101",MANSURA,LA,71350,100.0,12.8,2.3,0.0,4.7,33.6,9.0,65.9,99.2,100.0,99.4,100.0,99.6,100.0,48.8,8.9,100.0,"20,232",4.4,92.9,31.067691,-92.074182
ALL SAINTS HOSPICE CARE INC,"104 GALLERY CIRCLE, STE 108",SAN ANTONIO,TX,78258,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.634097,-98.497426
ALL SEASON'S HOSPICE,4201 LONG BEACH BLVD SUITE 101,LONG BEACH,CA,90807,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.82774,-118.17482
"ALL SEASONS HEALTHCARE, INC",7142 WOODROW STREET,IRMO,SC,29063,99.1,13.6,1.0,0.0,7.8,77.1,7.0,30.5,96.5,100.0,Not Available,Not Available,100.0,100.0,52.4,6.4,Not Available,"24,981",10.4,67.6,34.142131,-81.206184
ALL SEASONS HOSPICE,8385 S YARROW ST,LITTLETON,CO,80128,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.563846,-105.079066
"ALL STAR HOSPICE CARE, INC.",7100 HAYVENHURST AVE SUITE 320,VAN NUYS,CA,91406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.195685,-118.490752
"ALL STATE HOSPICE CARE, INC","45 WEST EASY STREET, SUITE 21",SIMI VALLEY,CA,93065,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.8,100.0,100.0,100.0,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.258405,-118.775026
ALL TIME HOSPICE CARE INC,13231 N35TH AVE STE A11-C,PHOENIX,AZ,85029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.594738,-112.109861
"ALL VALLEY HOSPICE, INC.",12440 FIRESTONE BLVD. SUITE 1020,NORWALK,CA,90650,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.906956,-118.08264
ALLAY HOME AND HOSPICE INC,325 N CORPORATE DR  SUITE 260,BROOKFIELD,WI,53045,98.5,2.9,0.0,0.0,4.3,71.8,9.0,79.7,96.8,99.8,96.6,97.1,100.0,99.8,67.6,13.4,100.0,"19,114",10.3,96.2,43.058889,-88.15252
"ALLAY HOSPICE CARE, INC.",7840 FOOTHILL BLVD SUITE F,SUNLAND,CA,91040,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.261962,-118.336078
"ALLAY HOSPICE, INC","415 WEST HILL STREET, SUITE 2",THOMSON,GA,30824,100.0,10.0,10.0,0.0,0.0,65.0,8.0,Not Available,100.0,100.0,Not Available,Not Available,100.0,100.0,10.0,9.6,Not Available,"11,100",7.9,85.7,33.512953,-82.514855
ALLEGHENY HEALTH NETWORK HEALTHCARE AT HOME HOSPIC,200 ALLEGHENY DRIVE SUITE #201,WARRENDALE,PA,15086,100.0,11.7,1.7,1.7,8.2,37.8,10.0,64.5,100.0,100.0,100.0,100.0,100.0,100.0,33.1,14.1,100.0,"10,128",7.7,96.0,40.674947,-80.106364
ALLEGIANCE HOSPICE,1560 LIVE OAK ST STE B,WEBSTER,TX,77598,100.0,17.2,0.0,0.2,3.4,49.5,10.0,37.2,98.1,100.0,100.0,96.6,99.1,100.0,39.7,12.8,100.0,"15,532",11.6,82.4,29.539422,-95.134995
ALLEGIANCE HOSPICE & PALLIATIVE CARE,1229 FARMERVILLE HWY,RUSTON,LA,71270,100.0,15.5,3.4,0.3,6.9,42.8,10.0,74.4,100.0,100.0,100.0,100.0,100.0,100.0,27.6,12.5,100.0,"10,691",7.7,92.0,32.489856,-92.643874
ALLEGIANCE HOSPICE & PALLIATIVE CARE,940 WEST BON TEMPT STREET,MARKSVILLE,LA,71351,99.6,15.6,1.1,0.2,6.7,34.3,10.0,68.5,98.8,100.0,99.5,100.0,99.6,100.0,45.6,14.8,100.0,"17,349",5.2,95.3,31.184246,-91.960829
"ALLEGIANCE HOSPICE, INC","13609 VICTORY BLVD, SUITE 247-A",VAN NUYS,CA,91401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178483,-118.431791
ALLEGIANT HOSPICE AND HOME CARE INC,340 N SAM HOUSTON PKWY E SUITE A299,HOUSTON,TX,77060,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.935512,-95.397624
"ALLEVIATE HOSPICE CARE, INC",13098 BORDEN AVE,SYLMAR,CA,91342,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.326584,-118.382261
"ALLEVIATE HOSPICE, INC.",8138 FOOTHILL BLVD STE 210,SUNLAND,CA,91040,100.0,0.0,0.0,0.0,0.0,69.8,9.0,Not Available,72.0,100.0,90.5,Not Available,100.0,100.0,40.5,13.4,Not Available,"30,591",13.5,94.4,34.261962,-118.336078
"ALLIANCE HEALTHCARE HOSPICE, LLC","617 BUILDING A, HIGHWAY 7 SOUTH",HOLLY SPRINGS,MS,38635,Not Available,11.8,0.0,6.2,5.9,97.3,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70.6,4.3,Not Available,"27,393",25.8,50.0,34.766909,-89.486327
"ALLIANCE HOME HEALTH CARE, LLC DBA AMBERCARE",3870 FOOTHILLS ROAD,LAS CRUCES,NM,88011,100.0,0.0,0.0,0.0,4.1,58.8,9.0,71.7,99.4,100.0,100.0,100.0,99.4,100.0,42.9,12.0,100.0,"13,619",7.8,93.6,32.322443,-106.656276
ALLIANCE HOSPICE,6717 MISSION STREET SUITE D-1,DALY CITY,CA,94014,100.0,3.5,0.0,0.0,8.8,44.9,9.0,24.8,92.8,100.0,96.8,96.3,100.0,100.0,57.9,8.4,Not Available,"26,763",13.2,84.9,37.690884,-122.447441
"ALLIANCE HOSPICE AND PALLIATIVE CARE, INC","11770 WARNER AVE, SUITE 201",FOUNTAIN VALLEY,CA,92708,100.0,0.0,0.0,0.0,0.0,56.8,9.0,39.0,100.0,100.0,100.0,Not Available,100.0,100.0,58.3,14.9,Not Available,"46,834",5.9,97.8,33.710582,-117.951129
ALLIANCE HOSPICE CARE INC,6550 VAN BUREN BLVD,RIVERSIDE,CA,92503,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.882579,-117.442303
ALLIANCE HOSPICE CARE LLC,"36 JACONNET STREET, #104",NEWTON,MA,02461,Not Available,8.3,8.3,0.1,25.0,50.0,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41.7,11.9,Not Available,"31,726",9.3,75.0,42.317362,-71.206508
ALLIANCE HOSPICE OF IDAHO,1655 1ST STREET,IDAHO FALLS,ID,83401,100.0,7.4,0.0,0.0,11.1,30.1,10.0,58.6,100.0,100.0,100.0,100.0,100.0,100.0,25.9,16.1,Not Available,"15,394",6.3,96.0,43.542409,-111.877936
ALLIANCE HOSPICE SERVICES,1421 E COOLEY DR. SUITE 5,COLTON,CA,92324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.02452,-117.289255
ALLIANCE UNITED HOSPICE CARE LLC,"401 S SHERMAN ST, STE 309 ",RICHARDSON,TX,75081,Not Available,0.0,4.3,0.0,8.7,60.0,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.5,8.7,Not Available,"13,037",5.1,75.0,32.948918,-96.709719
ALLIANT PALLIATIVE CARE AND HOSPICE,12225 PECOS ST,WESTMINSTER,CO,80234,100.0,0.0,0.0,0.0,5.9,28.1,8.0,52.5,97.3,100.0,97.7,97.7,100.0,100.0,17.6,37.9,95.2,"14,894",4.0,97.1,39.909992,-105.002643
"ALLIED CARE HOSPICE, INC",8220 KATELLA AVE.,STANTON,CA,90680,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.801191,-117.994904
ALLIED HOSPICE,"1680 S GARFIELD AVE, SUITE 205",ALHAMBRA,CA,91801,100.0,0.0,0.0,0.0,33.3,38.5,8.0,45.8,69.7,100.0,100.0,45.7,98.9,100.0,0.0,19.9,Not Available,"6,226",11.7,100,34.090728,-118.127527
ALLIED HOSPICE,6776 SOUTHWEST FWY SUITE 310,HOUSTON,TX,77074,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.687947,-95.515725
"ALLIED HOSPICE CARE, INC",21757 DEVONSHIRE ST UNIT 12,CHATSWORTH,CA,91311,100.0,4.3,8.7,0.1,8.7,87.8,7.0,Not Available,89.7,100.0,100.0,Not Available,93.1,100.0,39.1,10.3,Not Available,"21,557",19.9,63.0,34.293338,-118.603118
"ALLIED HOSPICE, LLC",500 N POPLAR AVE,BROKEN ARROW,OK,74012,97.7,27.1,2.9,0.0,4.3,32.0,9.0,41.6,91.7,99.2,99.1,95.3,99.2,100.0,35.7,13.8,94.3,"16,852",4.7,92.4,36.051414,-95.805721
ALLIED SERVICES HOSPICE LLC,100 ABINGTON EXECUTIVE PARK,CLARKS SUMMIT,PA,18411,98.6,8.1,2.0,5.7,13.1,17.4,10.0,59.7,91.9,99.8,99.2,97.3,97.3,100.0,31.3,9.9,91.2,"6,827",9.6,97.4,41.454492,-75.744541
ALLINA HEALTH HOSPICE & PALLIATIVE CARE,2925 CHICAGO AVENUE SOUTH  MAIL ROUTE 34100,MINNEAPOLIS,MN,55407,100.0,1.9,1.0,0.1,4.9,47.2,10.0,64.9,99.9,100.0,100.0,100.0,100.0,100.0,40.8,14.8,100.0,"12,489",9.9,93.6,44.935036,-93.253029
ALLPEACE CARE,"20710 MANHATTAN PL, SUITE 132",TORRANCE,CA,90501,100.0,4.0,0.0,0.6,8.0,78.9,9.0,Not Available,95.2,100.0,100.0,95.3,100.0,100.0,28.0,12.0,Not Available,"26,530",14.5,91.9,33.833744,-118.314022
ALLPOINT HOSPICE,3800 BARHAM BLVD SUITE 322 ,LOS ANGELES,CA,90068,100.0,10.7,1.8,0.3,0.0,79.4,9.0,13.6,84.8,100.0,Not Available,Not Available,100.0,100.0,64.3,10.6,Not Available,"19,590",14.8,97.1,34.129772,-118.330989
"ALLPRO HOSPICE, LLC", 1601 S RAINBOW BLVD,LAS VEGAS,NV,89146,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.143249,-115.226909
ALLSTAR HOSPICE,1032 WEST PIONEER PARKWAY SUITE 200,ARLINGTON,TX,76013,100.0,19.0,0.0,0.9,4.8,62.5,8.0,61.1,98.7,98.7,100.0,100.0,100.0,100.0,44.4,7.9,100.0,"22,917",6.2,98.0,32.719328,-97.155028
ALLSTAR HOSPICE,145 PROMENADE WAY 1,SUGAR LAND,TX,77479,98.6,14.5,1.4,0.1,0.0,80.8,9.0,11.2,97.2,100.0,100.0,100.0,98.6,99.3,49.3,8.4,100.0,"23,629",7.8,70.9,29.566996,-95.636016
ALLSTAR HOSPICE CARE INC,2626 FOOTHILL BLVD SUITE 203,LA CRESCENTA ,CA,91214,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.236302,-118.249185
"ALLSTATE CARE HOSPICE, INC",8285 W SUNSET BLVD SUITE 4,WEST HOLLYWOOD,CA,90046,98.6,7.6,2.2,0.2,3.3,77.6,9.0,0.0,87.8,100.0,100.0,81.8,100.0,100.0,28.3,12.0,100.0,"32,487",8.3,86.3,34.10781,-118.362247
ALLSTATE HOSPICE LLC,TO 4622 S CLOSNER,EDINBURG,TX,78539,98.6,21.1,1.9,0.6,14.3,23.1,8.0,65.8,92.0,98.8,99.3,87.9,98.6,99.0,34.2,12.9,98.4,"14,607",10.2,94.6,26.280689,-98.183295
ALLUMINE HOSPICE,"4030 HWY. 6 SOUTH, STE. 101",COLLEGE STATION,TX,77845,97.8,13.9,0.0,0.1,3.7,36.3,10.0,43.9,89.2,96.2,95.5,96.5,98.4,98.9,47.2,13.2,97.8,"15,425",8.7,93.6,30.561385,-96.272583
ALLY HOSPICE,202 E AIRPORT DR SUITE 240,SAN BERNARDINO,CA,92408,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.083458,-117.270016
"ALMIGHTY HOSPICE CARE, INC.",18159 1/2 PARTHENIA ST,NORTHRIDGE,CA,91325,100.0,0.0,0.0,0.0,0.0,33.3,8.0,Not Available,92.3,100.0,Not Available,Not Available,96.2,100.0,18.2,51.4,Not Available,"29,760",4.9,100,34.237519,-118.517712
"ALOE VERA HOSPICE, INC.",18345 VENTURA BLVD,TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155097,-118.547553
ALOMEGA HOSPICE SERVICES LLC,7400 LOUIS PASTEUR DR STE 100,SAN ANTONIO,TX,78229,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.501861,-98.569302
ALORA HOSPICE AND PALLIATIVE CARE LLC,1205 N RAUL LONGORIA RD SUITE K,SAN JUAN,TX,78589,100.0,16.1,6.5,0.0,0.0,6.3,7.0,5.1,94.9,97.4,100.0,97.2,100.0,100.0,45.2,19.5,Not Available,"18,324",3.5,90.9,26.167843,-98.154834
ALORIA HEALTHCARE,"5050 PALO VERDE STREET, SUITE 213",MONTCLAIR,CA,91763,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.072329,-117.698315
ALPHA CARE HOSPICE INC,12598 CENTRAL AVENUE SUITE 215,CHINO,CA,91710,100.0,6.7,0.0,0.0,0.0,88.1,8.0,Not Available,91.3,95.7,95.7,100.0,95.7,100.0,33.3,10.9,Not Available,"25,273",4.4,100,34.004468,-117.684697
ALPHA HOSPICE,10530 19TH AVE STE STE 201,EVERETT,WA,98208,99.5,10.4,0.0,0.0,14.6,72.9,7.0,52.2,99.1,99.5,100.0,100.0,100.0,100.0,27.1,8.7,100.0,"14,973",3.7,84.4,47.901777,-122.186999
ALPHA HOSPICE CARE,"373 VAN NESS AVENUE, SUITE 260",TORRANCE,CA,90501,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.833744,-118.314022
ALPHA HOSPICE CARE INC,5924 EAST LOS ANGELES AVENUE,SIMI VALLEY,CA,93063,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.308729,-118.687223
ALPHA HOSPICE LLC,"6465 SYCAMORE CANYON BLVD., STE 150A",RIVERSIDE,CA,92507,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.970847,-117.32512
ALPHA HOSPICE PLUS INC,284 GRINDSTONE ST,SUNNYVALE,TX,75182,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.800521,-96.547575
"ALPHA HOSPICE SERVICES, INC.",620 W ROUTE 66 SUITE 103A,GLENDORA,CA,91740,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.119367,-117.855054
ALPHA OMEGA HOSPICE,941 HILLTOP DRIVE,WEATHERFORD,TX,76086,100.0,19.3,1.7,0.3,6.8,69.8,9.0,82.7,98.8,100.0,99.1,99.2,99.9,100.0,34.7,11.2,99.6,"14,717",6.9,97.7,32.754964,-97.791085
ALPHA PLUS HOSPICE,"1102 SAN FERNANDO RD, SUITE 205",SAN FERNANDO,CA,91340,100.0,0.0,0.0,0.0,0.0,96.6,5.0,Not Available,87.0,100.0,100.0,Not Available,100.0,100.0,95.5,3.8,Not Available,"34,773",14.5,100,34.286687,-118.43508
"ALTA CARE HOSPICE AND PALLIATIVE CARE, INC",6280 SOUTH VALLEY VIEW BOULEVARD STE 122,LAS VEGAS,NV,89118,98.9,12.6,1.7,0.2,9.2,83.1,9.0,22.5,95.2,99.3,100.0,96.8,97.8,99.3,37.0,9.0,95.5,"24,460",8.7,73.3,36.07738,-115.213966
ALTA HOSPICE OF CALIFORNIA,1898 N. ARROWHEAD AVE. ,SAN BERNARDINO,CA,92405,100.0,11.1,0.0,0.0,0.0,77.1,9.0,12.1,90.1,100.0,100.0,75.9,100.0,100.0,33.3,10.8,Not Available,"18,550",5.7,87.8,34.144618,-117.301301
"ALTA LOMA HOSPICE, INC",2692 FAIR OAKS AVE ,ALTADENA,CA,91001,100.0,8.3,0.0,0.3,16.7,5.7,9.0,Not Available,92.3,100.0,97.1,Not Available,100.0,100.0,25.0,20.3,Not Available,"16,235",8.8,100,34.194489,-118.138263
"ALTADENA HOSPICE CARE, INC.",133 N ALTADENA DR STE. 385,PASADENA,CA,91107,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155533,-118.086178
ALTAIR HOSPICE CARE INC,14531 HAMLIN ST SUITE 270,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178522,-118.459234
ALTERNATIVE HOSPICE CARE INC.,21151 S WESTERN AVE STE 240,TORRENCE,CA,90501,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.833744,-118.314022
"ALTERNATIVE HOSPICE, LLC",1749 GILSINN LANE,FENTON,MO,63026,100.0,7.0,1.0,0.0,3.0,31.0,9.0,23.9,68.7,96.4,100.0,55.9,91.9,100.0,46.0,13.7,100.0,"13,981",4.6,87.0,38.503348,-90.460968
"ALTRUIST HOSPICE, INC","5409 NORTH JIM MILLER ROAD, SUITE 205",DALLAS,TX,75227,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.76681,-96.6869
"ALTRUISTIC HOSPICE, INC.","17050 CHATSWORTH ST, SUITE 251",GRANADA HILLS,CA,91344,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.294615,-118.507001
ALTUS HOSPICE,"201 KINGWOOD MEDICAL DRIVE, SUITE B500",KINGWOOD,TX,77339,100.0,12.8,0.0,0.4,4.6,67.0,10.0,78.6,98.7,100.0,99.4,98.9,99.8,100.0,31.2,13.2,99.6,"18,052",4.8,96.8,30.046777,-95.221022
ALTUS HOSPICE,"2615 CALDER AVENUE, SUITE 111",BEAUMONT,TX,77702,100.0,11.8,2.4,0.1,5.9,72.4,10.0,72.0,99.2,100.0,100.0,100.0,100.0,100.0,49.4,10.0,96.5,"26,360",4.7,96.5,30.086269,-94.128303
ALTUS HOSPICE,285 SE INNER LOOP ,GEORGETOWN,TX,78626,99.7,12.6,0.0,0.3,9.0,78.0,10.0,85.1,97.9,100.0,100.0,99.1,100.0,100.0,43.2,9.9,94.8,"17,798",7.7,98.4,30.657897,-97.617886
ALTUS HOSPICE,40 NE LOOP 410 STE 343,SAN ANTONIO,TX,78217,99.0,14.1,1.4,0.3,4.2,79.3,10.0,71.4,95.6,100.0,98.3,96.6,99.5,100.0,50.7,10.6,98.6,"19,127",6.8,98.5,29.538074,-98.415198
ALTUS HOSPICE,4660 SWEETWATER BOULEVARD,SUGAR LAND,TX,77479,100.0,13.7,0.0,0.4,23.5,75.7,9.0,55.7,92.8,100.0,98.4,93.7,97.9,100.0,23.5,12.7,98.6,"16,008",4.5,90.1,29.566996,-95.636016
ALTUS HOSPICE,555 N CARANCAHUA ST STE 1770  ,CORPUS CHRISTI,TX,78401,99.7,13.9,4.3,0.3,10.4,74.5,10.0,78.3,98.4,100.0,98.3,98.2,100.0,100.0,40.0,10.9,100.0,"20,285",7.4,95.7,27.797802,-97.399067
ALTUS HOSPICE,"6909 SPRINGFIELD AVENUE, SUITE 200",LAREDO,TX,78041,100.0,2.9,7.1,0.6,8.6,20.3,9.0,83.1,96.0,100.0,100.0,88.5,100.0,100.0,37.1,12.9,97.8,"11,467",6.1,97.2,27.545398,-99.462022
"ALTUS HOSPICE, INC","11490 BURBANK BLVD, SUITE 3D",NORTH HOLLYWOOD,CA,91601,Not Available,0.0,5.9,0.1,5.9,60.0,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.9,15.4,Not Available,"29,119",33.3,100,34.1692,-118.372498
ALUDRA HOSPICE,13701 RIVERSIDE DR SUITE 409,SHERMAN OAKS,CA,91423,100.0,8.7,0.0,0.1,0.0,100,6.0,Not Available,95.5,100.0,Not Available,100.0,100.0,100.0,65.2,9.9,Not Available,"43,061",12.9,53.3,34.148617,-118.433298
"ALUNA CARE, INC",10545 BURBANK BLVD SUITE 109,N HOLLYWOOD,CA,91601,Not Available,0.0,0.0,0.0,0.0,31.1,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73.7,13.4,Not Available,"49,973",25.1,100,34.1692,-118.372498
ALVIS F JOHNSON HOME HEALTH AND HOSPICE,308 HUDSPETH STREET,SONORA,TX,76950,Not Available,0.0,0.0,0.0,0.0,37.5,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,8.9,Not Available,"16,068",6.7,95.0,30.441414,-100.56062
ALWAYS ACCURATE HOME HEALTHCARE AND HOSPICE LLC,307 N WASHINGTON ST ,KAUFMAN,TX,75142,92.9,18.8,6.3,0.0,15.6,71.3,7.0,10.9,72.9,94.3,91.5,100.0,97.1,98.6,40.6,8.6,Not Available,"21,822",7.4,83.1,32.568163,-96.250214
ALWAYS BETTER HOSPICE CARE INC,"11755 VICTORY BLVD, SUITE 205",N HOLLYWOOD,CA,91606,100.0,0.0,0.0,0.0,7.4,66.7,8.0,Not Available,89.5,100.0,98.1,100.0,93.0,100.0,51.9,8.7,Not Available,"41,160",17.0,0.0,34.185767,-118.388323
